id,question,choice(c),correct answer,which concept this question belongs to,times_appeared,times_correct
1,Which statement best describes the optimizer's role during neural network training?,A. It updates model parameters using gradients to reduce the loss | B. It chooses the number of layers by searching architectures | C. It decides which dataset split should be used for testing | D. It converts labels into one-hot vectors,A,Optimizer,0,0
2,"A model's training loss keeps falling, but validation loss starts rising after epoch 6. What is the best diagnosis and response?",A. Underfitting; add more epochs | B. Overfitting; consider early stopping around the validation-loss minimum | C. Exploding gradients; remove the validation set | D. Bad labels; switch from softmax to sigmoid,B,Diagnosing loss curves,2,1
3,"In stochastic gradient descent, what does stochastic most directly refer to?",A. Randomly selected or shuffled mini-batches used for updates | B. Random test labels used to estimate accuracy | C. A randomly changing learning rate at every layer | D. Randomly chosen activation functions,A,Stochastic gradient descent,0,0
4,Which intervention is most specifically designed to stop training once generalization stops improving?,A. Increasing the batch size forever | B. Replacing all ReLU units with linear units | C. Using the test set for training | D. Early stopping,D,Overfitting countermeasures,2,1
5,What is the primary purpose of an activation function in a neural network?,A. To split the dataset into batches | B. To count the number of trainable parameters | C. To introduce non-linearity into layer outputs | D. To downsample feature maps by taking maxima,C,Activation functions,3,2
6,Which layer type is most directly responsible for extracting local spatial patterns in images?,A. Output softmax layer | B. Dense layer | C. Dropout layer | D. Convolutional layer,D,CNN components,1,1
7,Which layer type most directly reduces spatial dimensions by summarizing nearby activations?,A. Fully connected layer | B. Sigmoid output layer | C. Loss layer | D. Pooling layer,D,CNN components,1,1
8,"A 3 by 3 convolutional filter is applied to an RGB input and the layer has 32 filters. Including bias, how many trainable parameters does the layer have?",A. 150528 | B. 896 | C. 288 | D. 3200,B,CNN parameter counts,0,0
9,Which statement best describes parameter sharing in a CNN?,A. All layers use identical weights | B. The same filter weights are applied across many spatial locations | C. The optimizer shares one gradient across all models | D. Training and validation sets share examples,B,Convolution,2,2
10,What is the practical effect of valid padding in a convolutional layer?,A. It usually shrinks spatial dimensions because no border is added | B. It forces output probabilities to sum to 1 | C. It adds a border so output size stays fixed | D. It makes all filters non-trainable,A,Padding and strides,0,0
11,What is the purpose of same padding?,A. To prevent the model from using color channels | B. To make every filter have the same weights | C. To keep output spatial dimensions the same as the input when stride allows | D. To replace convolution with pooling,C,Padding and strides,1,1
12,What happens when a convolution uses a stride greater than 1?,A. It downsamples the spatial output | B. It removes the need for an activation function | C. It freezes the convolutional base | D. It increases the number of color channels in the input,A,Padding and strides,0,0
13,Which statement best distinguishes dense layers from convolutional layers?,A. Dense layers perform data augmentation; convolutional layers perform early stopping | B. Dense layers learn global combinations; convolutional layers learn local patterns with shared filters | C. Dense layers have no parameters; convolutional layers always have more parameters | D. Dense layers only work on images; convolutional layers only work on tables,B,CNN components,2,1
14,Which output activation and loss match binary classification?,A. No activation with binary cross-entropy | B. ReLU with categorical cross-entropy | C. Sigmoid with binary cross-entropy | D. Softmax with mean squared error,C,Output layer and loss,0,0
15,Which output activation and loss match single-label classification among 10 digit classes?,A. Softmax with categorical cross-entropy | B. Sigmoid with binary cross-entropy | C. No activation with mean squared error | D. Tanh with dropout loss,A,Output layer and loss,0,0
16,Why is softmax preferable to argmax during multiclass training?,A. Softmax reduces the number of hidden units to zero | B. Softmax permanently removes incorrect classes from the dataset | C. Softmax gives differentiable probabilities and partial credit across classes | D. Softmax is a pooling operation,C,Softmax,1,1
17,Why do we usually scale MNIST pixel values from 0-255 to 0-1?,A. It prevents the model from overfitting by deleting pixels | B. Smaller input values can make optimization easier and more stable | C. It creates new labels for each digit | D. It changes a grayscale image into an RGB image,B,Preprocessing,1,1
18,"In a forward pass, what is computed?",A. New training labels from gradients | B. The next architecture to try | C. Predictions from inputs using the current parameters | D. Test-set leakage from validation examples,C,Forward and backward pass,0,0
19,"In backpropagation, what is computed?",A. Image augmentations for the test set | B. The final exam score | C. Gradients of the loss with respect to parameters | D. Random labels for mini-batches,C,Backpropagation,2,2
20,Why do neural networks use the probability p rather than a rounded 0/1 prediction when computing training loss?,A. Loss functions cannot compare probabilities to labels | B. The optimizer only works after labels are removed | C. Rounded predictions are always more accurate | D. The probability contains graded information needed for gradient-based learning,D,Loss functions,1,1
21,What is a local minimum?,A. A point with low loss nearby that may not be the globally lowest loss | B. A data augmentation applied to one image | C. A validation example with incorrect label | D. The first batch in SGD,A,Gradient descent,1,1
22,What does the learning rate control?,A. The number of validation examples | B. The number of color channels | C. The size of the parameter update step | D. The number of output classes,C,Gradient descent,1,1
23,A model performs poorly on both training and validation data. Which diagnosis is most likely?,A. Too much validation data | B. Underfitting or insufficient model capacity | C. Clear overfitting | D. Test leakage,B,Diagnosing loss curves,0,0
